상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소,지정일자,지정등급
젠젠건대스타시티,서울특별시 광진구 능동로 92 (자양동) 2층,음식,일식,일식 회/초밥,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2024-03-04,매우우수
푸드닥터에프앤비,서울특별시 광진구 능동로17길 18 (화양동) 2층,음식,한식,백반/한정식,127.072542859349,37.5465628319577,서울특별시 광진구 능동로17 길 18,2023-07-06,좋음
설빙건대지점,서울특별시 광진구 아차산로 225 (화양동) 2층,음식,기타 간이,아이스크림/빙수,127.068460014293,37.5409081334543,서울특별시 광진구 아차산로 225,2024-03-26,매우우수
해초섬롯데건대스타시티,서울특별시 광진구 능동로 92 (자양동) 10층,음식,한식,백반/한정식,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2023-09-10,매우우수
죽이야기자양1 점,서울특별시 광진구 자양로15길 67 (자양동) 1층,음식,한식,백반/한정식,127.079950277758,37.5349972063271,서울특별시 광진구 자양로15 길 67,2024-07-04,매우우수
차이홍짬뽕스타시티점,서울특별시 광진구 능동로 92 (자양동) 1층,음식,중식,중국집,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2024-11-04,매우우수
청년피자구의 직영점,서울특별시 광진구 구의강변로 85 (구의동) 1층,음식,기타 간이,피자,127.093465115163,37.5383365096704,서울특별시 광진구 구의강변로 85,2024-05-08,매우우수
청년피자중곡 직영점,서울특별시 광진구 능동로 356 (중곡동) 1층,음식,기타 간이,피자,127.0819046111,37.5610888430181,서울특별시 광진구 능동로 356,2024-05-08,매우우수
컴포즈커피건대양꼬치 거리점,서울특별시 광진구 동일로18길 62 (자양동) 1층,음식,비알코올 ,카페,127.066039645647,37.5389968068445,서울특별시 광진구 동일로18 길 62,2024-07-01,매우우수
컴포즈커피건대스타시티몰점,서울특별시 광진구 능동로 110 (화양동) 2층,음식,비알코올 ,카페,127.071393981254,37.5406519161493,서울특별시 광진구 능동로 110,2024-01-26,매우우수
농심코코이찌방야건대스타시티,서울특별시 광진구 아차산로 272 (자양동),음식,한식,백반/한정식,127.072981616513,37.538546918058,서울특별시 광진구 아차산로 272,2024-04-23,좋음
크리스피크림건대스타시티점,서울특별시 광진구 아차산로 262 (자양동) 1층,음식,기타 간이,피자,127.072944230258,37.5369968145663,서울특별시 광진구 아차산로 262,2023-09-04,우수
투썸플레이스,서울특별시 광진구 아차산로 537-17 (광장동) 1층,음식,비알코올 ,카페,127.099644411941,37.5429521266911,서울특별시 광진구 아차산로 537 17,2023-05-14,매우우수
투썸플레이스중곡대원외고점,서울특별시 광진구 용마산로 113 (중곡동) 1층,음식,비알코올 ,카페,127.086603105186,37.5637743718656,서울특별시 광진구 용마산로 113,2025-01-27,매우우수
투썸플레이스 구의역점,서울특별시 광진구 자양로 116 (구의동) 1층,음식,비알코올 ,카페,127.083735658859,37.5381893341564,서울특별시 광진구 자양로 116,2023-07-04,매우우수
투썸플레이스건대,서울특별시 광진구 능동로13길 5 (화양동) 2층,음식,비알코올 ,카페,127.07129309836,37.542399162983,서울특별시 광진구 능동로13 길 5,2024-10-23,매우우수
파리바게뜨화양,서울특별시 광진구 군자로 70 (군자동) 1층,음식,기타 간이,빵/도넛,127.070848385337,37.5490544313962,서울특별시 광진구 군자로 70,2024-07-01,매우우수
파파밸리,서울특별시 광진구 능동로 92 (자양동) 1층,음식,기타 간이,피자,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2024-03-14,매우우수
