상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
쉬르메르surmer,서울특별시 광진구 아차산로30길 31 (자양동) 1층,음식,기타 간이,빵/도넛,127.067403860829,37.5393950408787,서울특별시 광진구 아차산로30 길 31
식물와인바,서울특별시 광진구 동일로24길 64 (화양동) 1층,음식,주점,요리 주점,127.068513996731,37.5429359249595,서울특별시 광진구 동일로24 길 64
질서정연,서울특별시 광진구 동일로24길 50 (화양동) 1층,음식,서양식,경양식,127.067775269542,37.5431914001222,서울특별시 광진구 동일로24 길 50
한베,서울특별시 광진구 천호대로 530 (군자동) 2층,음식,동남아시아,베트남식 전문,127.077022840794,37.5576898660195,서울특별시 광진구 천호대로 530
자양동진한국밥,서울특별시 광진구 뚝섬로 607 (자양동) 1층,음식,한식,국/탕/찌개류,127.077272362771,37.5328588374499,서울특별시 광진구 뚝섬로 607
신푸드,서울특별시 광진구 면목로 188 (중곡동) 2층,음식,한식,백반/한정식,127.083258063241,37.5697944815147,서울특별시 광진구 면목로 188
사운드온더펍광나루역점,서울특별시 광진구 광장로 47 (광장동) 1층,음식,동남아시아,베트남식 전문,127.102447206781,37.5470282031711,서울특별시 광진구 광장로 47
퍼즌트,서울특별시 광진구 능동로32길 50 (능동) 1층,음식,기타 간이,빵/도넛,127.081173040974,37.5542982462637,서울특별시 광진구 능동로32 길 50
할리스강변역점,서울특별시 광진구 구의강변로 64 (구의동) 1층,음식,비알코올 ,카페,127.092579003248,37.5358247745794,서울특별시 광진구 구의강변로 64
중곡역2 번부두,서울특별시 광진구 긴고랑로 77 (중곡동) 1층,음식,한식,횟집,127.084470769643,37.5613520536492,서울특별시 광진구 긴고랑로 77
릴리베이커리,서울특별시 광진구 능동로13길 21 (화양동) 1층,음식,기타 간이,빵/도넛,127.070697453979,37.5429801602819,서울특별시 광진구 능동로13 길 21
애크로매틱어린이대공원,서울특별시 광진구 능동로 177 (화양동) 2층,음식,한식,백반/한정식,127.073449106725,37.5464888520331,서울특별시 광진구 능동로 177
리치에프앤비,서울특별시 광진구 아차산로33길 48 (화양동),음식,한식,돼지고기 구이/찜,127.070919929921,37.5423782064625,서울특별시 광진구 아차산로33 길 48
마장동고기집 자양점,서울특별시 광진구 자양로 55 (자양동) 1층,음식,한식,돼지고기 구이/찜,127.084473809239,37.5324193066325,서울특별시 광진구 자양로 55
불닭발땡초엽기떡볶이군자점 동대문,서울특별시 광진구 광나루로 361 (군자동),음식,기타 간이,김밥/만두/분식,127.06973538815,37.5484599851023,서울특별시 광진구 광나루로 361
40 년광화문 구의점,서울특별시 광진구 구의로 50 (구의동) 1층,음식,서양식,경양식,127.090226298644,37.5422762352699,서울특별시 광진구 구의로 50
메가엠지씨커피동서울 터미널점,서울특별시 광진구 강변역로4길 10 (구의동) 1층,음식,비알코올 ,카페,127.093388186348,37.5353444204635,서울특별시 광진구 강변역로4 길 10
용감한왕만두,서울특별시 광진구 아차산로 244 (자양동),음식,기타 간이,김밥/만두/분식,127.070183411823,37.5397233174117,서울특별시 광진구 아차산로 244
