상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
선주카페,서울특별시 광진구 강변북로 2230 (자양동),음식,비알코올 ,카페,127.067800920131,37.5284053347663,서울특별시 광진구 강변북로 2230
피자샵자양,서울특별시 광진구 아차산로 334-1 (자양동) 1층,음식,기타 간이,피자,127.079832755197,37.537194860044,서울특별시 광진구 아차산로 334-1
밍크뮤,서울특별시 광진구 능동로 90 (자양동) 8층,소매,섬유·의복·신발 소매,기타 의류 소매업,127.070902015585,37.53835036397,서울특별시 광진구 능동로 90
수포차,서울특별시 광진구 능동로36길 55 (능동) 1층,음식,주점,일반 유흥 주점,127.082121703574,37.5553868853703,서울특별시 광진구 능동로36길 55
오색무지개노래연습장,서울특별시 광진구 면목로 191 (중곡동) 지층,예술·스포츠,유원지·오락,노래방,127.083093410807,37.5702977897708,서울특별시 광진구 면목로 191
광수육회,서울특별시 광진구 면목로13길 3 (중곡동) 1층,음식,한식,소고기 구이/찜,127.082467117911,37.5687521313755,서울특별시 광진구 면목로13길 3
평강부동산중개사무소,서울특별시 광진구 구의강변로 45 (구의동) 1층,부동산,부동산 서비스,부동산 중개/대리업,127.091289265139,37.5348777610673,서울특별시 광진구 구의강변로 45
사이다,서울특별시 광진구 용마산로5길 78 (중곡동),소매,섬유·의복·신발 소매,여성 의류 소매업,127.083331628893,37.5573245326316,서울특별시 광진구 용마산로5길 78
미장원607,서울특별시 광진구 뚝섬로 614 (자양동) 1층,수리·개인,이용·미용,미용실,127.077844027629,37.5323767339154,서울특별시 광진구 뚝섬로 614
닥터모락,서울특별시 광진구 아차산로 226 (자양동) 6층,수리·개인,이용·미용,피부 관리실,127.068398067585,37.5404300874177,서울특별시 광진구 아차산로 226
드림휘트니스,서울특별시 광진구 능동로24길 37 (능동) 1층,예술·스포츠,스포츠 서비스,헬스장,127.078809496672,37.5523065292029,서울특별시 광진구 능동로24길 37
뽀빠이우렁추어탕,서울특별시 광진구 자양번영로 12 (자양동) 1층,음식,한식,국/탕/찌개류,127.075194309369,37.5307160963747,서울특별시 광진구 자양번영로 12
동광인테리어,서울특별시 광진구 뚝섬로45길 28 (자양동),과학·기술,전문 디자인,인테리어 디자인업,127.078110560722,37.5337033633246,서울특별시 광진구 뚝섬로45길 28
평생나눔사업협동조합,서울특별시 광진구 강변역로4길 10 (구의동),과학·기술,인쇄·제품제작,명함/간판/광고물 제작,127.093388186348,37.5353444204635,서울특별시 광진구 강변역로4길 10
