지정기관,지정일자,지정등급,업소명,영업자명,소재지(도로명),업종명,법정동명(식품영업대장)
식품의약품안전처,2024-05-16,매우우수,던킨건대입구역점,도*호,서울특별시 광진구 능동로 110(스타시티영존빌딩 1층 103호 화양동),제과점영업,화양동 
식품의약품안전처,2023-10-28,매우우수,던킨도너츠,김*희,"서울특별시 광진구 아차산로 502(광장동,진넥스오딧세이 113호)",휴게음식점,광장동 
식품의약품안전처,2023-09-10,매우우수,던킨도너츠테크노마트점,정*천,"서울특별시 광진구 광나루로56길 85(구의동,지하1층D009호)",제과점영업,구의동 
식품의약품안전처,2024-12-02,매우우수,던킨중곡점,고*정,"서울특별시 광진구 긴고랑로 43(101,102호 중곡동, 넥스트 플래닛)",휴게음식점,중곡동 
식품의약품안전처,2023-02-24,매우우수,도미노피자 군자점,이*,서울특별시 광진구 능동로 253(태영빌딩 1층 군자동),일반음식점,군자동 
식품의약품안전처,2023-02-24,매우우수,도미노피자구의광장점,김*현,서울특별시 광진구 광나루로 562(1층 구의동),휴게음식점,구의동 
식품의약품안전처,2023-03-10,매우우수,도미노피자자양점,구*경,서울특별시 광진구 아차산로 312(드림타운 1층 자양동),휴게음식점,자양동 
식품의약품안전처,2023-06-28,매우우수,도미노피자중곡점,구*경,서울특별시 광진구 용마산로 39(중곡동),휴게음식점,중곡동 
식품의약품안전처,2025-01-14,매우우수,도제&딜라잇쌈 건대점,정*석,서울특별시 광진구 능동로 92(롯데백화점 지하1층 자양동),휴게음식점,자양동
식품의약품안전처,2023-07-06,우수,동궁찜닭 건대광진점,전*루,서울특별시 광진구 광나루로 410(KCC파크타운 1층 112호 화양동),일반음식점,화양동 
식품의약품안전처,2024-09-12,매우우수,두찜건대점,오*용,서울특별시 광진구 동일로20길 89(2층 자양동),일반음식점,자양동
식품의약품안전처,2024-11-04,매우우수,떡대,김*태,서울특별시 광진구 군자로 31-1(103호 화양동),일반음식점,화양동
식품의약품안전처,2023-11-20,매우우수,뚜레쥬르,장*만,서울특별시 광진구 아차산로 370(자양동),제과점영업,자양동 
식품의약품안전처,2024-05-14,매우우수,뚜레쥬르 건국대병원점,정*필,서울특별시 광진구 능동로 120-1(건국대학교병원 지하1층 화양동),제과점영업,화양동 
식품의약품안전처,2023-10-11,매우우수,뚜레쥬르 자양점,안*현,"서울특별시 광진구 능동로 50(1층 108호 자양동, 이튼타워리버2차)",제과점영업,자양동 
식품의약품안전처,2023-10-06,매우우수,라와마라탕건대점,신*수,서울특별시 광진구 아차산로33길 51-4(2층 화양동),일반음식점,화양동 
식품의약품안전처,2024-03-04,좋음,래빗홀버거컴퍼니,황*,서울특별시 광진구 광나루로 424(화양동),일반음식점,화양동
식품의약품안전처,2024-04-16,매우우수,롯데리아 건대스타시티점,남*우,서울특별시 광진구 아차산로 262(자양동),휴게음식점,자양동 
